gene_name	NES_corr_phospho_int_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_act	method_1	NES_corr_phospho_int_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_all	method_2	NES_corr_phospho_int_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_act	method_3	NES_corr_phospho_int_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_all	method_4	NES_corr_phospho_int_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_act	method_5	NES_corr_phospho_int_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_all	method_6	NES_corr_phospho_int_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_act	method_7	NES_corr_phospho_int_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_all	method_8	NES_corr_phospho_no_int_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_act	method_9	NES_corr_phospho_no_int_weight=TRUE_prot=TRUE_phosphoscore_corr_phospho_all	method_10	NES_corr_phospho_no_int_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_act	method_11	NES_corr_phospho_no_int_weight=TRUE_prot=FALSE_phosphoscore_corr_phospho_all	method_12	NES_corr_phospho_no_int_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_act	method_13	NES_corr_phospho_no_int_weight=FALSE_prot=TRUE_phosphoscore_corr_phospho_all	method_14	NES_corr_phospho_no_int_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_act	method_15	NES_corr_phospho_no_int_weight=FALSE_prot=FALSE_phosphoscore_corr_phospho_all	method_16	NES_no_corr_phospho_int_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_17	NES_no_corr_phospho_int_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_18	NES_no_corr_phospho_int_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_19	NES_no_corr_phospho_int_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_20	NES_no_corr_phospho_int_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_21	NES_no_corr_phospho_int_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_22	NES_no_corr_phospho_int_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_23	NES_no_corr_phospho_int_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_24	NES_no_corr_phospho_no_int_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_25	NES_no_corr_phospho_no_int_weight=TRUE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_26	NES_no_corr_phospho_no_int_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_27	NES_no_corr_phospho_no_int_weight=TRUE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_28	NES_no_corr_phospho_no_int_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_act	method_29	NES_no_corr_phospho_no_int_weight=FALSE_prot=TRUE_phosphoscore_no_corr_phospho_all	method_30	NES_no_corr_phospho_no_int_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_act	method_31	NES_no_corr_phospho_no_int_weight=FALSE_prot=FALSE_phosphoscore_no_corr_phospho_all	method_32
GRK5	-6.661256545602435	VIPER	-6.661256545602435	VIPER	-6.661256545602435	VIPER	-6.661256545602435	VIPER	-3.041895605924638	VIPER	-3.041895605924638	VIPER	-3.041895605924638	VIPER	-3.041895605924638	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.515115799885206	VIPER	-2.515115799885206	VIPER	-2.515115799885206	VIPER	-2.515115799885206	VIPER	-2.18228242590051	VIPER	-2.18228242590051	VIPER	-2.18228242590051	VIPER	-2.18228242590051	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GRK6	-17.269732774267204	VIPER	-17.269732774267204	VIPER	-17.269732774267204	VIPER	-17.269732774267204	VIPER	-4.317433193566801	VIPER	-4.317433193566801	VIPER	-4.317433193566801	VIPER	-4.317433193566801	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.115266451182031	VIPER	-5.115266451182031	VIPER	-5.115266451182031	VIPER	-5.115266451182031	VIPER	-2.8650383444236116	VIPER	-2.8650383444236116	VIPER	-2.8650383444236116	VIPER	-2.8650383444236116	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HUNK	2.3005347394744726	VIPER	2.3005347394744726	VIPER	2.3005347394744726	VIPER	2.3005347394744726	VIPER	2.0226092109377394	VIPER	2.0226092109377394	VIPER	2.0226092109377394	VIPER	2.0226092109377394	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IKBKE	3.529099071460543	VIPER	3.529099071460543	VIPER	3.529099071460543	VIPER	3.529099071460543	VIPER	2.3895501210726406	VIPER	2.3895501210726406	VIPER	2.3895501210726406	VIPER	2.3895501210726406	VIPER	3.5855615622312502	VIPER	3.5855615622312502	VIPER	3.5855615622312502	VIPER	3.5855615622312502	VIPER	2.3895501210726406	VIPER	2.3895501210726406	VIPER	2.3895501210726406	VIPER	2.3895501210726406	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRAK1	4.68616338713701	VIPER	4.68616338713701	VIPER	4.68616338713701	VIPER	4.68616338713701	VIPER	2.6636964251572848	VIPER	2.6636964251572848	VIPER	2.6636964251572848	VIPER	2.6636964251572848	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.485283620364411	VIPER	4.485283620364411	VIPER	4.485283620364411	VIPER	4.485283620364411	VIPER	2.7260687096230116	VIPER	2.7260687096230116	VIPER	2.7260687096230116	VIPER	2.7260687096230116	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAP3K13	-5.323472270326827	VIPER	-5.323472270326827	VIPER	-5.323472270326827	VIPER	-5.323472270326827	VIPER	-2.7957240240582393	VIPER	-2.7957240240582393	VIPER	-2.7957240240582393	VIPER	-2.7957240240582393	VIPER	-5.408643158943182	VIPER	-5.408643158943182	VIPER	-5.408643158943182	VIPER	-5.408643158943182	VIPER	-2.7957240240582393	VIPER	-2.7957240240582393	VIPER	-2.7957240240582393	VIPER	-2.7957240240582393	VIPER	-5.427753245102826	VIPER	-5.427753245102826	VIPER	-5.427753245102826	VIPER	-5.427753245102826	VIPER	-2.929756907601433	VIPER	-2.929756907601433	VIPER	-2.929756907601433	VIPER	-2.929756907601433	VIPER	-6.020480638391698	VIPER	-6.020480638391698	VIPER	-6.020480638391698	VIPER	-6.020480638391698	VIPER	-2.929756907601433	VIPER	-2.929756907601433	VIPER	-2.929756907601433	VIPER	-2.929756907601433	VIPER
MAP3K8	4.221190683731519	VIPER	4.221190683731519	VIPER	4.221190683731519	VIPER	4.221190683731519	VIPER	2.559620961849264	VIPER	2.559620961849264	VIPER	2.559620961849264	VIPER	2.559620961849264	VIPER	4.288726033461145	VIPER	4.288726033461145	VIPER	4.288726033461145	VIPER	4.288726033461145	VIPER	2.559620961849264	VIPER	2.559620961849264	VIPER	2.559620961849264	VIPER	2.559620961849264	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAPK1	-0.2693934074137344	VIPER	-0.2693934074137344	VIPER	NA	NA	NA	NA	-0.17167918861555775	VIPER	-0.17167918861555775	VIPER	NA	NA	NA	NA	-0.2737034657237416	VIPER	-0.2737034657237416	VIPER	NA	NA	NA	NA	-0.17167918861555775	VIPER	-0.17167918861555775	VIPER	NA	NA	NA	NA	-0.1052008173541547	VIPER	-0.1052008173541547	VIPER	NA	NA	NA	NA	-0.07444455582650172	VIPER	-0.07444455582650172	VIPER	NA	NA	NA	NA	-0.11668907104336704	VIPER	-0.11668907104336704	VIPER	NA	NA	NA	NA	-0.07444455582650172	VIPER	-0.07444455582650172	VIPER	NA	NA	NA	NA
MARK1	5.5229919687333755	VIPER	5.5229919687333755	VIPER	5.5229919687333755	VIPER	5.5229919687333755	VIPER	2.834877638707871	VIPER	2.834877638707871	VIPER	2.834877638707871	VIPER	2.834877638707871	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.710924725438966	VIPER	8.710924725438966	VIPER	8.710924725438966	VIPER	8.710924725438966	VIPER	3.4942776170819685	VIPER	3.4942776170819685	VIPER	3.4942776170819685	VIPER	3.4942776170819685	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MARK2	10.930622521326368	VIPER	10.930622521326368	VIPER	10.930622521326368	VIPER	10.930622521326368	VIPER	3.655096326534983	VIPER	3.655096326534983	VIPER	3.655096326534983	VIPER	3.655096326534983	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.821362132678546	VIPER	14.821362132678546	VIPER	14.821362132678546	VIPER	14.821362132678546	VIPER	4.242924181659105	VIPER	4.242924181659105	VIPER	4.242924181659105	VIPER	4.242924181659105	VIPER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
