Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	RMSE	normalized_time	norm_diam	nodes_norm	edges_norm	quant_ratio	nod_edg	combined_score2
FALSE	TRUE	TRUE	TRUE	two	vanilla	three_step	NA	NA	2;4	NA	NA	Network1490	22.49	238.55	97	277	1	0.078	12	0.083	6	6	NA	59	37	vanilla_three_step	261.04	0.74	0.41	100.8597906423618	0.18548599120320042	0.5	0.5987654320987654	0.3639947437582129	0.13357400722021662	0.35018050541516244	0.8106898053694682
TRUE	TRUE	FALSE	FALSE	three	vanilla	two_step	NA	NA	NA	4;2;TRUE	NA	Network2205	68.61	32.24	102	274	1	0.094	9	0.052	7	7	NA	35	26	vanilla_two_step	100.85	0.81	0.38	87.72684879784524	0.0716605202759836	0.375	0.6296296296296297	0.3600525624178712	0.0948905109489051	0.3722627737226277	0.8106131514192558
FALSE	TRUE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;TRUE	NA	Network2306	9.16	4.03	43	93	1	0.158	7	0.075	4	4	NA	13	7	vanilla_one_step	13.190000000000001	0.87	0.38	73.02967433402215	0.009372357584930331	0.2916666666666667	0.2654320987654321	0.12220762155059132	0.07526881720430108	0.46236559139784944	0.8105932704184977
FALSE	FALSE	FALSE	FALSE	two	inverse	NA	NA	NA	3;3	NA	NA	Network1232	24.8	21.35	102	180	1	0.052	10	0.04	8	5	10	18	10	inverse	46.150000000000006	0.78	0.41	94.28090415820634	0.03279259306630286	0.4166666666666667	0.6296296296296297	0.23653088042049936	0.05555555555555555	0.5666666666666667	0.8105525924978506
FALSE	FALSE	FALSE	TRUE	two	vanilla	one_step	FALSE	NA	4;3	NA	NA	Network1352	24.69	63	107	239	1	0.096	10	0.085	9	7	NA	45	27	vanilla_one_step	87.69	0.78	0.41	94.28090415820634	0.06230947965295986	0.4166666666666667	0.6604938271604939	0.3140604467805519	0.11297071129707113	0.4476987447698745	0.810356793051277
FALSE	FALSE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;FALSE	NA	Network3664	72.28	9.65	47	83	1	0.074	8	0.081	3	5	NA	18	9	vanilla_three_step	81.93	0.88	0.41	70.71067811865476	0.05821662296689477	0.3333333333333333	0.29012345679012347	0.10906701708278581	0.10843373493975904	0.5662650602409639	0.8102402095431672
FALSE	TRUE	TRUE	FALSE	two	vanilla	two_step	NA	NA	4;1	NA	NA	Network682	12.88	6.83	105	155	1	0.037	6	0.068	4	6	NA	36	24	vanilla_two_step	19.71	0.88	0.44	68.59943405700353	0.014005243972629023	0.25	0.6481481481481481	0.20367936925098554	0.15483870967741936	0.6774193548387096	0.8101183060441839
TRUE	FALSE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	3;4;FALSE	NA	Network4019	98.4	603.6	99	207	1	0.059	13	0.07	1	1	12	47	35	inverse	702	0.81	0.38	86.60254037844386	0.4988169086141843	0.5416666666666666	0.6111111111111112	0.2720105124835742	0.16908212560386474	0.4782608695652174	0.8101110144124288
TRUE	TRUE	FALSE	TRUE	three	vanilla	three_step	NA	NA	NA	4;3;TRUE	NA	Network2533	77.22	795.91	112	425	1	0.091	14	0.058	11	8	NA	82	51	vanilla_three_step	873.13	0.78	0.41	86.4338497146355	0.6204159649833373	0.5833333333333334	0.691358024691358	0.5584756898817346	0.12	0.2635294117647059	0.8100834736699993
FALSE	FALSE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	2;3;TRUE	NA	Network2384	20.21	7.06	48	79	1	0.05	8	0.086	2	5	NA	19	10	vanilla_three_step	27.27	0.88	0.41	71.80703308172536	0.019377118373089468	0.3333333333333333	0.2962962962962963	0.1038107752956636	0.12658227848101267	0.6075949367088608	0.8100823822325551
TRUE	TRUE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	4;1;TRUE	NA	Network1905	53.1	10.62	67	162	1	0.086	9	0.093	7	6	NA	36	28	vanilla_one_step	63.72	0.81	0.38	86.60254037844386	0.045277227089595196	0.375	0.41358024691358025	0.21287779237844942	0.1728395061728395	0.41358024691358025	0.8098643076685007
FALSE	TRUE	TRUE	FALSE	two	vanilla	two_step	NA	NA	3;2	NA	NA	Network922	16.36	6.38	80	149	1	0.058	8	0.078	7	6	NA	26	18	vanilla_two_step	22.74	0.83	0.44	82.02679477907445	0.016158257125194517	0.3333333333333333	0.49382716049382713	0.19579500657030224	0.12080536912751678	0.5369127516778524	0.8098376998053862
TRUE	FALSE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	1;3;TRUE	NA	Network2279	21.15	116.69	87	307	1	0.101	11	0.066	6	5	NA	43	25	vanilla_two_step	137.84	0.8	0.35	89.44271909999159	0.09794433430680793	0.4583333333333333	0.5370370370370371	0.40341655716162944	0.08143322475570032	0.28338762214983715	0.8097944121831552
FALSE	FALSE	TRUE	FALSE	three	vanilla	three_step	NA	NA	NA	2;2;FALSE	NA	Network3340	58.43	3.93	42	70	1	0.061	7	0.067	3	4	NA	16	9	vanilla_three_step	62.36	0.88	0.41	70.71067811865476	0.044310858149829824	0.2916666666666667	0.25925925925925924	0.09198423127463863	0.12857142857142856	0.6	0.8097568759890816
FALSE	FALSE	FALSE	FALSE	two	inverse	NA	NA	NA	4;3	NA	NA	Network1312	24.64	40.81	120	199	1	0.046	11	0.051	8	5	10	28	17	inverse	65.45	0.74	0.41	98.5817854426092	0.0465065052262085	0.4583333333333333	0.7407407407407407	0.2614980289093298	0.08542713567839195	0.6030150753768844	0.8095789334606209
FALSE	FALSE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3640	72.65	52.68	102	263	1	0.068	12	0.103	4	8	NA	52	27	vanilla_two_step	125.33000000000001	0.78	0.41	94.59053029269172	0.0890551611917603	0.5	0.6296296296296297	0.3455978975032852	0.10266159695817491	0.38783269961977185	0.8095197662407354
FALSE	FALSE	TRUE	FALSE	one	vanilla	one_step	FALSE	4	NA	NA	NA	Network476	3.04	17.18	130	197	1	0.018	7	0.061	5	6	NA	41	25	vanilla_one_step	20.22	0.81	0.5	88.19998920202936	0.014367632325041036	0.2916666666666667	0.8024691358024691	0.2588699080157687	0.12690355329949238	0.6598984771573604	0.8094115835180714
FALSE	FALSE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	3;3;TRUE	NA	Network2464	41.42	13.32	84	141	1	0.032	9	0.071	5	6	NA	28	14	vanilla_three_step	54.74	0.83	0.44	81.64965809277261	0.038896349825556197	0.375	0.5185185185185185	0.18528252299605782	0.09929078014184398	0.5957446808510638	0.8093661201058108
FALSE	FALSE	TRUE	FALSE	three	vanilla	two_step	NA	NA	NA	4;3;FALSE	NA	Network3804	65.71	9.8	88	154	1	0.043	10	0.06	9	7	NA	28	17	vanilla_two_step	75.50999999999999	0.78	0.41	89.75274678557507	0.05365479311888469	0.4166666666666667	0.5432098765432098	0.202365308804205	0.11038961038961038	0.5714285714285714	0.8092971799043616
TRUE	TRUE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	4;3;TRUE	NA	Network2541	75.49	31.24	83	175	1	0.033	9	0.046	4	8	NA	41	32	vanilla_three_step	106.72999999999999	0.8	0.35	90.77444574328172	0.07583864480967506	0.375	0.5123456790123457	0.22996057818659657	0.18285714285714286	0.4742857142857143	0.8092608424666363
TRUE	FALSE	FALSE	FALSE	two	vanilla	one_step	FALSE	NA	4;2	NA	NA	Network1039	27.79	66	110	263	1	0.075	9	0.067	6	6	NA	40	26	vanilla_one_step	93.78999999999999	0.82	0.41	84.01680504168058	0.0666439285739663	0.375	0.6790123456790124	0.3455978975032852	0.09885931558935361	0.41825095057034223	0.8091008720798835
