Atlas	Direct	PKN_filtering	Connect_all	Layer_types	Carnival_types	Steps_numbers	TopDown	Max_length1	Max_length1-2	Max_length1-3	Keep_only_connected	network_id	PKN_time	CARNIVAL_time	nodes	edges	n_components	clust_coeff	diameter	power_law_fit	longest_path_AMPK	longest_path_MTOR	longest_path_Perturbation	quantified_edges	significant_edges	carnival	computation_time	Precision	Recall	TP	FP	TN	RMSE
FALSE	FALSE	FALSE	TRUE	three	vanilla	three_step	NA	NA	NA	1;3;FALSE	NA	Network3576	72.65	51.25	102	274	1	0.066	11	0.08	10	8	NA	54	29	vanilla_three_step	123.9	0.79	0.44	15	4	19	93.68178510677
TRUE	TRUE	TRUE	FALSE	three	vanilla	three_step	NA	NA	NA	1;3;FALSE	NA	Network3577	89.87	59.11	77	180	1	0.049	10	0.067	10	5	NA	42	25	vanilla_three_step	148.98000000000002	0.75	0.35	12	4	22	92.41245857567041
TRUE	FALSE	TRUE	FALSE	three	vanilla	three_step	NA	NA	NA	1;3;FALSE	NA	Network3579	91.62	21.51	61	127	1	0.05	8	0.039	5	6	NA	31	23	vanilla_three_step	113.13	0.8	0.35	12	3	22	89.44271909999159
TRUE	TRUE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	1;3;FALSE	NA	Network3581	98.85	48.47	80	195	1	0.031	12	0.107	11	5	NA	47	32	vanilla_three_step	147.32	0.8	0.35	12	3	22	89.44271909999159
FALSE	TRUE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	1;3;FALSE	NA	Network3582	69.16	8.53	49	83	1	0.073	12	0.096	12	6	NA	18	9	vanilla_three_step	77.69	0.87	0.38	13	2	21	73.02967433402215
TRUE	FALSE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	1;3;FALSE	NA	Network3583	102.45	21.5	60	124	1	0.053	8	0.047	5	6	NA	31	23	vanilla_three_step	123.95	0.8	0.35	12	3	22	89.44271909999159
FALSE	FALSE	FALSE	FALSE	three	vanilla	three_step	NA	NA	NA	1;3;FALSE	NA	Network3584	72.28	9.29	49	85	1	0.073	12	0.085	12	6	NA	18	9	vanilla_three_step	81.57	0.87	0.38	13	2	21	73.02967433402215
TRUE	TRUE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3585	90	603	81	182	1	0.099	14	0.074	8	7	NA	31	22	vanilla_one_step	693	0.73	0.32	11	4	23	103.27955589886444
FALSE	TRUE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3586	64.2	9.77	77	182	1	0.131	13	0.102	10	11	NA	35	21	vanilla_one_step	73.97	0.79	0.44	15	4	19	91.7662935482247
TRUE	FALSE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3587	93	603.6	86	203	1	0.085	12	0.09	8	6	NA	38	24	vanilla_one_step	696.6	0.73	0.32	11	4	23	103.27955589886444
FALSE	FALSE	TRUE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3588	64.2	12.89	79	184	1	0.131	11	0.112	10	9	NA	35	21	vanilla_one_step	77.09	0.79	0.44	15	4	19	91.7662935482247
TRUE	TRUE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3589	98.4	603	80	188	1	0.095	13	0.118	8	8	NA	37	25	vanilla_one_step	701.4	0.73	0.32	11	4	23	103.27955589886444
FALSE	TRUE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3590	70.8	10.28	77	182	1	0.131	13	0.102	10	11	NA	35	21	vanilla_one_step	81.08	0.79	0.44	15	4	19	91.7662935482247
TRUE	FALSE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3591	103.2	603	81	185	1	0.089	14	0.097	7	14	NA	36	25	vanilla_one_step	706.2	0.73	0.32	11	4	23	103.27955589886444
FALSE	FALSE	FALSE	TRUE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3592	73.2	11.97	80	175	1	0.115	11	0.106	10	9	NA	35	21	vanilla_one_step	85.17	0.78	0.41	14	4	20	94.28090415820634
TRUE	TRUE	TRUE	FALSE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3593	89.4	22.92	69	160	1	0.035	8	0.071	5	6	NA	34	22	vanilla_one_step	112.32	0.8	0.35	12	3	22	89.44271909999159
FALSE	TRUE	TRUE	FALSE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3594	62.400000000000006	3.94	52	103	1	0.128	9	0.102	1	7	NA	20	10	vanilla_one_step	66.34	0.86	0.35	12	2	22	75.59289460184544
TRUE	FALSE	TRUE	FALSE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3595	91.8	18.63	71	168	1	0.036	8	0.059	5	6	NA	34	22	vanilla_one_step	110.43	0.8	0.35	12	3	22	89.44271909999159
FALSE	FALSE	TRUE	FALSE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3596	65.4	4.55	49	92	1	0.112	9	0.075	9	8	NA	17	10	vanilla_one_step	69.95	0.87	0.38	13	2	21	73.02967433402215
TRUE	TRUE	FALSE	FALSE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3597	99.6	21.2	69	159	1	0.033	8	0.072	5	6	NA	34	22	vanilla_one_step	120.8	0.8	0.35	12	3	22	89.44271909999159
FALSE	TRUE	FALSE	FALSE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3598	69.6	4.15	52	104	1	0.127	9	0.116	1	7	NA	20	10	vanilla_one_step	73.75	0.86	0.35	12	2	22	75.59289460184544
TRUE	FALSE	FALSE	FALSE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3599	103.8	20.97	71	168	1	0.036	8	0.059	5	6	NA	34	22	vanilla_one_step	124.77	0.8	0.35	12	3	22	89.44271909999159
FALSE	FALSE	FALSE	FALSE	three	vanilla	one_step	FALSE	NA	NA	1;3;FALSE	NA	Network3600	72.6	6.97	56	109	1	0.067	14	0.071	8	8	NA	20	11	vanilla_one_step	79.57	0.87	0.38	13	2	21	73.02967433402215
TRUE	TRUE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3617	89.4	603.6	87	217	1	0.084	8	0.101	5	4	8	40	23	inverse	693	0.72	0.38	13	5	21	99.38079899999066
FALSE	TRUE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3618	63	265.79999999999995	79	154	1	0.076	9	0.069	6	5	9	31	17	inverse	328.79999999999995	0.67	0.29	10	5	24	115.47005383792515
TRUE	FALSE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3619	92.4	603	88	204	1	0.08	10	0.062	5	1	10	37	23	inverse	695.4	0.76	0.38	13	4	21	97.01425001453319
FALSE	FALSE	TRUE	TRUE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3620	66	588.6	82	152	1	0.084	10	0.065	7	6	10	31	17	inverse	654.6	0.64	0.26	9	5	25	119.52286093343936
TRUE	TRUE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3621	100.8	604.2	92	237	1	0.088	13	0.11	0	3	13	47	32	inverse	705	0.73	0.32	11	4	23	103.27955589886444
FALSE	TRUE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3622	71.39999999999999	558	80	156	1	0.078	9	0.08	6	6	9	31	17	inverse	629.4	0.67	0.29	10	5	24	115.47005383792515
TRUE	FALSE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3623	103.8	639	99	274	1	0.086	13	0.075	4	3	13	48	33	inverse	742.8	0.78	0.41	14	4	20	99.2500221331161
FALSE	FALSE	FALSE	TRUE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3624	72.6	216	93	174	1	0.043	12	0.063	4	3	12	34	20	inverse	288.6	0.69	0.26	9	4	25	111.80339887498948
TRUE	TRUE	TRUE	FALSE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3625	89.4	87.6	99	262	1	0.054	9	0.096	0	0	6	45	34	inverse	177	0.79	0.32	11	3	23	95.45717065035727
FALSE	TRUE	TRUE	FALSE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3626	63	9.27	81	154	1	0.058	6	0.047	4	4	6	21	12	inverse	72.27	0.79	0.32	11	3	23	92.58200997725514
TRUE	FALSE	TRUE	FALSE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3627	91.8	113.4	101	253	1	0.035	9	0.073	1	1	6	42	30	inverse	205.2	0.8	0.35	12	3	22	91.51502608861563
FALSE	FALSE	TRUE	FALSE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3628	64.80000000000001	11.77	81	157	1	0.059	6	0.039	4	4	6	21	12	inverse	76.57000000000001	0.79	0.32	11	3	23	92.58200997725514
TRUE	TRUE	FALSE	FALSE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3629	99.6	19.41	84	205	1	0.059	7	0.052	3	3	6	41	30	inverse	119.01	0.8	0.35	12	3	22	89.44271909999159
FALSE	TRUE	FALSE	FALSE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3630	70.19999999999999	11.39	96	196	1	0.051	9	0.042	0	3	8	27	17	inverse	81.58999999999999	0.67	0.29	10	5	24	111.18573882705695
TRUE	FALSE	FALSE	FALSE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3631	103.2	24.2	88	215	1	0.056	7	0.049	4	4	6	41	30	inverse	127.4	0.8	0.35	12	3	22	89.44271909999159
FALSE	FALSE	FALSE	FALSE	three	inverse	NA	NA	NA	NA	2;3;FALSE	NA	Network3632	72	20.16	94	188	1	0.05	10	0.038	1	3	7	25	15	inverse	92.16	0.71	0.29	10	4	24	108.767445234579
TRUE	TRUE	TRUE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3633	90.15	619.17	85	196	1	0.06	16	0.042	15	8	NA	48	33	vanilla_two_step	709.3199999999999	0.78	0.41	14	4	20	94.28090415820634
FALSE	TRUE	TRUE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3634	63.12	19.88	100	295	1	0.103	13	0.094	8	8	NA	48	26	vanilla_two_step	83	0.74	0.41	14	5	20	102.59783520851542
TRUE	FALSE	TRUE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3635	92.22	624.83	87	178	1	0.055	13	0.074	11	11	NA	46	30	vanilla_two_step	717.0500000000001	0.76	0.38	13	4	21	97.01425001453319
FALSE	FALSE	TRUE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3636	66.71	18.89	90	234	1	0.083	12	0.067	9	8	NA	44	26	vanilla_two_step	85.6	0.74	0.41	14	5	20	102.59783520851542
TRUE	TRUE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3637	100.06	519.43	125	484	1	0.089	13	0.048	1	6	NA	78	44	vanilla_two_step	619.49	0.82	0.41	14	3	20	86.1739007848118
FALSE	TRUE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3638	69.5	35.88	103	357	1	0.108	13	0.093	8	6	NA	56	30	vanilla_two_step	105.38	0.74	0.41	14	5	20	95.76163861931865
TRUE	FALSE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3639	102.16	251.82	95	236	1	0.053	14	0.066	14	8	NA	59	40	vanilla_two_step	353.98	0.75	0.44	15	5	19	100.39920318408906
FALSE	FALSE	FALSE	TRUE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3640	72.65	52.68	102	263	1	0.068	12	0.103	4	8	NA	52	27	vanilla_two_step	125.33	0.78	0.41	14	4	20	94.59053029269172
TRUE	TRUE	TRUE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3641	90.11	28.17	73	167	1	0.029	7	0.076	5	6	NA	37	27	vanilla_two_step	118.28	0.81	0.38	13	3	21	89.07315969346647
FALSE	TRUE	TRUE	FALSE	three	vanilla	two_step	NA	NA	NA	2;3;FALSE	NA	Network3642	63.32	5.54	45	78	1	0.078	8	0.112	3	5	NA	18	9	vanilla_two_step	68.86	0.88	0.41	14	2	20	70.71067811865476
