UNIPROT	gene_name	significant	logpval	difference
Q8K114	Ints9	+	0.0764647	0.290754
Q8K119	Pms1	+	0.0805074	-0.49164
Q8K124	Plekho2	+	0.0317611	0.328739
Z4YK56	AU040320	NA	1	0
Q8K183	Pdxk	NA	0.99683	-0.0133139
Q8K194	Snrnp27	NA	0.84446	NA
Q8K199	Cmc2	NA	0.13158	0.460854
Q8K1A0	Mettl5	NA	1	0
Q8K1B8	Fermt3	+	0.0112495	0.494526
Q8K1C0	Angel2	NA	0.844289	NA
Q8K1C9	Lrrc41	NA	0.844118	NA
Q8K1E6	Alkbh3	NA	0.21958	0.425224
Q8K1H7	Tcp11l2	NA	0.843776	NA
Q8K1I7	Wipf1	NA	0.686164	-0.121634
Q8K1J6	Trnt1	NA	0.598847	0.103827
Q8K1K3	Tinf2	NA	0.843606	NA
Q8K1L5	Ppp1r11	+	0.0225561	-0.735559
Q8K1M3	Prkar2a	NA	0.898809	-0.0513369
Q8K1M6	Dnm1l	+	0.0762403	0.310427
Q8K1N4	Spats2	+	0.00612546	-0.739734
Q8K1R3	Pnpt1	+	0.0353249	0.501806
Q8K1R7	Nek9	NA	0.154935	0.237494
Q8K1X4	Nckap1l	NA	0.545215	0.161802
Q8K1Z0	Coq9	NA	0.843435	0.77723
Q8K202	Polr1e	NA	0.219163	-0.2698
Q8K205	Pop1	NA	0.549345	-0.105243
Q8K212	Pacs1	+	0.035251	0.471371
Q8K214	Scmh1	NA	0.18319	0.212165
Q8K215	Lyrm4	NA	0.843094	NA
Q8K221	Arfip2	NA	0.842923	-0.52734
Q8K224	Nat10	NA	0.503785	0.15473
Q8K245	Uvrag	NA	0.319253	0.279453
Q8K268	Abcf3	NA	0.522097	-0.16979
Q8K273	Mmgt1	NA	0.842753	NA
Q8K274	Fn3krp	+	0.00402721	0.607136
Q8K284	Gtf3c1	NA	0.710385	0.0964578
Q8K285	Fcho1	+	0.0822304	0.41117
B1ATD5	Mtmr3	NA	0.206199	0.191896
Q8K297	Colgalt1	NA	0.116348	-0.22776
Q8K298	Anln	NA	0.842582	-2.13308
Q8K2A8	Alg3	NA	0.870891	0.0888538
Q8K2B3	Sdha	+	0.00267669	0.685803
Q8K2C7	Os9	NA	0.899895	-0.0746568
Q8K2C9	Hacd3	NA	0.842242	NA
Q8K2D3	Edc3	NA	0.496752	0.171857
Q9JI19	Fibp	+	0.0575527	0.291646
Q8K2F0	Brd3	NA	0.461355	0.202696
Q8K2F8	Lsm14a	NA	0.609587	-0.188254
Q8K2H2	Otud6b	NA	0.62817	0.125322
Q8K2H4	Acap1	NA	0.381819	-0.14502
Q8K2H6	Anapc10	NA	0.156188	-0.409912
Q8K2I1	Fntb	NA	0.842072	NA
Q8K2I4	Manba	+	0.0104766	0.510426
Q8K2L8	Trappc12	NA	0.772679	0.0892455
Q8K2M0	Mrpl38	NA	0.626931	0.106678
Q8K2Q0	Commd9	NA	0.468108	0.204943
Q8K2Q7	Brox	NA	0.784926	-0.0920699
Q8K2T4	Uqcc3	NA	0.841901	1.25325
Q8K2T8	Paf1	+	0.00960422	-0.698936
Q8K2U2	Alkbh6	NA	0.841731	0.437546
Q8K2V6	Ipo11	NA	0.914244	0.0341536
Q8K2W3	Txndc11	NA	0.841561	NA
Q8K2X8	Gtf2h5	NA	0.841391	NA
Q8K2Y7	Mrpl47	NA	0.740241	-0.0981604
Q8K2Y9	Ccm2	+	0.0389862	0.467066
Q8K2Z4	Ncapd2	NA	0.250594	-0.151867
Q8K301	Ddx52	NA	0.661691	0.0690975
E9Q3W6	Nsl1	NA	0.623287	0.248553
Q8K310	Matr3	NA	0.893338	-0.0298525
Q8K327	Champ1	NA	0.446461	-0.140833
Q8K330	Ssh3	NA	0.841222	0.562017
Q8K337	Inpp5b	NA	0.847351	0.0839157
Q8K339	Kin	NA	0.468135	-0.19865
Q8K352	Sash3	NA	0.677134	-0.112893
Q8K363	Ddx18	+	0.0747055	-0.391373
Q8K368	Fanci	+	0.050583500000000003	0.224977
Q8K370	Acad10	+	0.00493617	1.47265
Q8K382	Dennd1a	NA	0.841052	NA
Q8K387	Usp45	NA	0.561524	0.190863
Q8K389	Cdk5rap2	NA	0.166195	-0.442031
Q8K394	Plcl2	NA	0.293467	0.24136
Q8K396	Mnd1	NA	0.840882	0.18434
Q8K3A0	Hscb	+	0.0141571	0.836809
Q8K3A9	Mepce	NA	0.798767	0.0761191
Q8K3C3	Lzic	NA	0.540637	0.223541
Q8K3G5	Vrk3	+	0.00565854	1.22791
Q8K3G9	Appl2	NA	0.405898	0.214096
Q8K3H0	Appl1	NA	0.490843	0.137096
Q8K3J1	Ndufs8	NA	0.840713	0.91436
Q8K3K8	Optn	+	0.0342415	0.384501
Q8K3P5	Cnot6	NA	0.840543	-0.185176
Q8K3W3	Casc3	NA	0.840373	NA
Q8K400	Stxbp5	+	0.0300181	0.449137
Q8K409	Polb	NA	0.504355	0.194201
Q8K411	Pitrm1	+	0.0269022	0.336064
Q8K482	Emilin2	+	0	-1.29324
F8WHY8	Mta1	NA	0.974682	0.0279309
Q8K4B2	Irak3	+	0.00249462	0.9911
Q8K4E0	Alms1	NA	0.840204	NA
Q8K4F5	Abhd11	+	0.0264741	0.566717
Q8K4F6	Nsun5	NA	0.505739	-0.0846437
Q8K4L0	Ddx54	NA	0.115445	-0.491192
Q8K4M5	Commd1	NA	0.840035	NA
Q8K4P0	Wdr33	NA	1	0.0183862
Q8K4R9	Dlgap5	NA	0.839865	-1.61577
Q8K4Z5	Sf3a1	NA	0.468138	0.0937004
Q8K5B2	Mcfd2	NA	0.476336	-0.224748
Q8N7N5	Dcaf8	NA	0.607681	0.140217
Q8N9S3	Ahsa2	NA	0.839527	-0.338509
Q8QZS1	Hibch	+	0.026586	0.428104
Q8QZT1	Acat1	NA	0.227706	0.52308
Q78T58	Arhgap9	+	0.0137746	0.839797
Q8QZX2	Haus3	NA	0.344542	-0.20647
Q8QZY1	Eif3l	+	0.0278411	-0.412628
Q8QZY9	Sf3b4	+	0.0103841	-0.643106
Q8QZZ8	Rab38	+	0.00322222	0.906764
Q8R003	Mbnl3	NA	0.839358	NA
Q8R010	Aimp2	NA	0.346369	0.155732
Q8R015	Bloc1s5	NA	0.839189	0.0766211
Q8R016	Blmh	NA	0.275998	0.23032
Q8R050	Gspt1	+	0.0215828	-0.617317
Q8R059	Gale	NA	0.510046	0.253843
Q8R080	Gtse1	NA	0.83902	NA
Q8R086	Suox	+	0.0215989	0.620653
Q8R0A0	Gtf2f2	NA	0.381976	-0.116703
Q8R0F5	Rbmx2	NA	0.838851	NA
Q8R0F6	Ilkap	NA	0.99958	0.0215626
Q8R0G9	Nup133	NA	0.586607	0.083216300000000007
Q8R0J2	Mpdu1	NA	0.838682	0.793859
Q8R0J7	Vps37b	NA	0.838513	NA
Q8R0K9	E2f4	+	0.0870029	-0.417702
Q8R0L9	Tada3	NA	0.210285	0.351732
Q8R0W6	Ndfip1	NA	0.838345	-0.064621
Q8R0X7	Sgpl1	NA	0.345215	0.206724
Q8R0Z5	Slc25a28	NA	0.838176	NA
Q8R107	Prelid1	NA	0.838008	NA
Q8R123	Flad1	NA	0.287353	0.269461
Q8R127	Sccpdh	+	0.0515253	0.615454
Q8R146	Apeh	NA	0.923829	0.0321331
Q8R149	Bud13	NA	0.929282	0.0486135
Q8R151	Znfx1	NA	0.837839	0.2207
Q8R164	Bphl	NA	1	0.0151431
Q8R179	Kbtbd4	+	0.0102921	0.9266
Q8R1B4	Eif3c	+	0.00664918	-0.487806
Q8R1F0	D8Ertd738e	NA	0.837671	-0.925075
Q8R1F5	Hyi	+	0.0183036	0.6291
Q8R1G6	Pdlim2	NA	0.837502	NA
Q8R1I1	Uqcr10	+	0.0159494	0.753853
Q8R1K1	Ubac2	NA	0.837334	NA
Q8R1K4	Phykpl	NA	0.114657	0.385889
Q8R1M0	Hmces	NA	0.837166	0.0656538
Q8R1N4	Nudcd3	NA	0.519465	-0.160273
Q8R1Q8	Dync1li1	NA	0.882015	0.0509771
Q8R1Q9	Rbks	NA	0.83683	0.427
Q8R1S0	Coq6	+	0.0356715	0.545614
Q8R1T1	Chmp7	NA	0.836662	0.0997537
Q8R1V4	Tmed4	NA	1	0
Q8R205	Zc3h10	NA	0.836494	NA
Q8R238	Sdsl	+	0.0102987	0.990453
Q8R242	Ctbs	NA	0.836326	NA
Q8R2H9	Phospho1	NA	0.836158	NA
Q9CYR0	Ssbp1	NA	0.83599	-0.68797
Q8R2M2	Dnttip2	NA	0.359858	-0.191406
Q8R2Q8	Bst2	NA	0.835823	NA
Q8R2R6	Mtg1	NA	0.94239	0.0375652
Q8R2R9	Ap3m2	NA	0.835655	NA
Q8R2S9	Actr8	NA	0.860699	-0.0567532
Q8R2T8	Gtf3c5	NA	0.837168	0.051
Q8R2U0	Seh1l	NA	0.950775	-0.0312564
Q8R2U4	Ntmt1	NA	0.720454	0.127228
Q8R2U6	Nudt4	NA	0.835488	-0.190979
Q8R2Y8	Ptrh2	NA	0.418367	0.209934
Q8R307	Vps18	+	0.0140544	0.532963
Q8R317	Ubqln1	+	0.0654163	-1.15439
Q8R322	Gle1	NA	0.624792	0.11682
Q8R323	Rfc3	NA	0.592997	0.116226
Q8R326	Pspc1	NA	0.131483	0.416024
Q8R332	Nupl1	NA	0.582234	0.13113
