UNIPROT	gene_name	significant	logpval	difference
Q9CQV1	Pam16	NA	0.463071	-0.169709
Q9CQV5	Mrps24	NA	0.181469	0.354717
Q9CQV6	Map1lc3b	NA	0.809363	0.419628
Q9CQV8	Ywhab	NA	0.664963	0.175833
Q9CQW0	Emc6	NA	0.809206	NA
Q9CQW1	Ykt6	NA	0.841526	-0.0685577
Q9CQW2	Arl8b	+	0.0217143	-0.65187
Q9CQW9	Ifitm3	NA	0.809049	-0.830869
Q9CQX2	Cyb5b	+	0.0830227	0.579259
Q9CQX5	Cldnd1	NA	1	0
Q9D6T9	Mrps36	NA	0.808735	NA
Q9CQY6	Uqcc2	NA	0.808578	NA
Q9CQZ0	Ormdl2	NA	0.808421	0.303259
Q9CQZ5	Ndufa6	NA	0.34269	0.254264
Q9CR00	Psmd9	NA	0.808265	-0.392012
Q9CR02	Tma16	NA	0.808108	NA
Q9CR08	Pop4	NA	0.807951	NA
Q9CR09	Ufc1	NA	1	0.00942357
Q9CR11	Yeats4	NA	0.444576	0.226231
Q9CR16	Ppid	NA	0.176026	-0.33641
Q9CR23	Tmem9	NA	0.807638	NA
Q9CR24	Nudt8	NA	0.807481	0.48537400000000003
Q9CR26	Vta1	NA	0.835182	0.0840098
Q9CR29	Ccdc43	NA	0.554838	0.104253
Q9CR41	Hypk	NA	1	0.00787544
Q9CR47	Nsa2	+	0.0459779	-0.56306
Q9CR48	Dram2	NA	0.807325	NA
Q9CR51	Atp6v1g1	NA	0.807169	NA
Q9CR56	Nkiras2	NA	0.807012	NA
Q9CR57	Rpl14	NA	1	-8.41777e-4
Q9CR59	Gadd45gip1	NA	0.481665	-0.216366
Q9CR61	Ndufb7	+	0.0111803	0.675633
Q9CR62	Slc25a11	+	0.0566063	0.591944
Q9CR67	Tmem33	NA	0.965882	-0.0327333
Q9CR68	Uqcrfs1	+	0.0375879	0.559533
Q9CR80	Fam32a	NA	0.806856	NA
Q9CR86	Carhsp1	NA	0.166603	0.326685
Q9CR89	Ergic2	NA	0.151117	0.259701
Q9CR98	Fam136a	NA	1	0.012194
Q9CRA4	Msmo1	+	0.0991252	-0.646927
Q9CRA5	Golph3	NA	0.348496	-0.150905
Q9CRA8	Exosc5	NA	0.8067	NA
Q9CRA9	Fgfr1op2	NA	0.544143	0.209816
Q9CRB2	Nhp2	NA	1	0
Q9CRB9	Chchd3	NA	0.138268	0.427883
Q9CRC8	Lrrc40	NA	0.804907	0.0818431
Q9CRC9	Gnpda2	NA	0.806544	1.07572
Q9CRD0	Ociad1	NA	0.462799	0.18932
Q9CRD2	Emc2	+	0.0862907	0.49707
Q9CRG1	Tm7sf3	NA	0.806388	0.717926
A0A1W2P7Q6	Xpot	NA	1	0.00541051
Q9CS00	Cactin	NA	0.425866	0.203654
Q9CS42	Prps2	NA	0.595268	0.13054
Q9CS74	Ecd	NA	0.806232	NA
Q9CSH3	Dis3	NA	0.837489	-0.0591526
Q9CSU0	Rprd1b	+	0.0686036	0.854337
Q9CT10	Ranbp3	NA	0.479225	-0.231133
Q9CU62	Smc1a	NA	0.464101	-0.146736
Q9CU65	Zmym2	NA	0.692392	0.115997
Q9CVB6	Arpc2	NA	0.680958	0.141338
Q9CVD2	Atxn3	NA	0.166178	0.255793
Q9CW03	Smc3	NA	0.986103	-0.0207767
Q9CW46	Raver1	NA	0.161565	0.202417
Q9CWD8	Nubpl	NA	0.806076	NA
Q9CWE0	Mtfr1l	+	0.0691008	0.65366
Q9CWG1	Glipr1	NA	0.80592	1.35118
Q9CWG8	Ndufaf7	+	0.0676358	0.379983
Q9CWI3	Bccip	NA	0.302824	-0.2323
Q9CWJ9	Atic	NA	0.982389	0.0230586
Q9CWK3	Cd2bp2	NA	0.312071	-0.228425
Q9CWK8	Snx2	NA	0.576218	-0.0941703
Q9CWL8	Ctnnbl1	NA	0.913386	0.034399
Q9CWN7	Cnot11	NA	1	-0.0012633
Q9CWP8	Pold4	NA	0.805764	NA
Q9CWQ0	Dph5	NA	0.805608	NA
Q9CWR1	Wdr73	NA	0.587369	0.190684
Q9CWR2	Smyd3	NA	0.805453	NA
Q9CWU2	Zdhhc13	NA	0.805297	-0.0640507
Q9CWU6	Uqcc1	NA	0.805141	0.535244
Q9CWU9	Nup37	NA	0.926963	-0.0692444
Q9CWV6	Prkrip1	NA	0.299607	-0.231723
Q9CWW6	Pin4	NA	0.804986	-0.254124
Q9CWW7	Cxxc1	NA	0.43952599999999997	0.221657
Q9CWX4	Rpusd4	NA	0.80483	NA
Q9CWX9	Ddx47	NA	0.169676	-0.478549
Q9CWY8	Rnaseh2a	NA	0.804675	0.27423
Q9CWY9	Rpain	+	0.0507765	0.838886
Q9CWZ7	Napg	NA	0.389814	0.13947
Q9CX00	Ist1	NA	0.80452	0.0195332
Q9CX11	Utp23	NA	0.804364	NA
Q9CX30	Yif1b	NA	0.804209	0.0540543
Q9CX34	Sugt1	NA	0.244406	-0.268847
Q9CX53	Gemin6	NA	0.804054	NA
Q9CX86	Hnrnpa0	NA	0.695579	-0.0798899
Q9CX97	Wdr55	NA	0.848291	-0.050197
Q9CXC3	Mgme1	NA	0.803899	0.21031
Q9CXE7	Tmed5	NA	0.622422	0.199777
Q9CXF4	Tbc1d15	+	0.0659247	0.33935
Q9CXF7	Chd1l	NA	0.151118	0.184326
Q9CXG3	Ppil4	NA	0.304638	-0.312894
Q9CXI0	Coq5	NA	0.976504	0.0307198
Q9CXJ4	Abcb8	+	0.00596139	0.762374
Q9CXK8	Nip7	NA	0.568852	-0.122538
Q9CXR1	Dhrs7	+	0.0495601	0.37852
Q9CXT6	Kdm8	NA	0.803434	-0.269731
Q9CXT8	Pmpcb	NA	0.337604	0.1682
Q9CXU1	Med31	NA	0.803279	NA
Q9CXU4	Timm23	NA	0.803124	0.14864
Q9CXV1	Sdhd	NA	0.80297	0.423343
Q9CXV9	Dcun1d5	+	0.00981633	-0.963522
Q9CXW2	Mrps22	NA	0.817909	-0.0846338
Q9CXW3	Cacybp	+	0.0286897	-0.520066
Q9CXW4	Rpl11	+	0.0386094	-0.329243
Q9CXX9	Cuedc2	+	0.027842	-0.53791
Q9CXY6	Ilf2	NA	0.389993	0.166884
Q9CXY9	Pigk	NA	0.251714	0.362073
Q9CY16	Mrps28	NA	1	0.0151914
Q9CY24	Tmem179b	NA	0.802815	NA
Q9CY25	Mis12	NA	0.80266	-0.50007
Q9CY27	Tecr	+	0.014175	0.568741
Q9CY28	Gtpbp8	NA	0.802506	0.864928
Q9CY34	Ube2f	+	0.0659729	0.400942
Q9QXA5	Lsm4	NA	0.524308	0.129494
Q9CY50	Ssr1	NA	0.82564	-0.0604204
Q9CY52	Thg1l	NA	0.114969	-0.41872
Q9CY58	Serbp1	+	0.00750296	-0.71272
Q9CY62	Rnf181	NA	0.802351	-1.54066
Q9CY64	Blvra	+	0.0600429	0.364677
Q9CY73	Mrpl44	NA	0.802197	NA
Q9CY94	Gins3	NA	0.802042	0.40716
Q9CY97	Ssu72	NA	0.558015	0.0949497
Q9CYA0	Creld2	NA	0.537614	-0.158
Q9CYA6	Zcchc8	NA	0.16866	0.188869
Q9CYC5	Dsn1	+	0.0577277	-0.465647
Q9CYC6	Dcp2	+	0.0101446	0.542486
Q9CYD3	Crtap	NA	0.774309	-0.122731
Q9CYG7	Tomm34	NA	0.970956	-0.0412083
Q9CYH6	Rrs1	+	0.0174947	-0.553947
Q9CYI4	Luc7l	NA	0.974575	0.0207729
Q9CYK1	Wars2	+	0.00484507	0.785874
Q9CYL5	Glipr2	NA	0.405243	0.36113
Q9CYN2	Spcs2	+	0.0228586	0.732783
Q9CYQ7	Narf	NA	0.801888	0.881299
Q9CYU6	Dph7	NA	0.736155	0.0959454
Q9CYW4	Hdhd3	NA	0.134964	0.629547
Q9CYX7	Rrp15	NA	0.801734	-0.746131
Q9CYZ2	Tpd52l2	NA	0.845447	-0.0425256
Q9CZ04	Cops7a	NA	0.801425	-0.21469
Q9CZ09	Mettl18	NA	0.801271	NA
Q9CZ13	Uqcrc1	+	0.0418563	0.380653
Q9CZ15	Gins1	NA	0.449343	-0.162639
Q9CZ28	Snf8	NA	0.801117	NA
Q9CZ30	Ola1	NA	0.313924	-0.141324
Q9CZ44	Nsfl1c	NA	0.898624	0.0326475
Q9CZ57	Nsun4	NA	0.800963	0.929066
Q9CZ82	Med18	NA	0.800809	-1.05023
Q9CZ83	Mrpl55	NA	0.800656	0.318494
Q9CZ92	Cenpp	NA	1	0
Q9CZB3	Thumpd2	NA	1	0
Q9CZB6	Med7	NA	1	0
Q9CZD3	Gars	NA	0.122303	-0.26489
Q9CZD5	Mtif3	NA	1	0
Q9CZE3	Rab32	+	0.0058	1.49606
Q9CZG3	Commd8	NA	0.281575	0.262301
Q9CZG9	Pdzd11	NA	0.800502	0.873983
Q9CZH3	Psmg3	NA	0.790084	0.0660833
Q9CZJ6	Mis18a	NA	0.800348	-0.575735
Q9CZL5	Pcbd2	NA	0.800041	NA
Q9CZN7	Shmt2	NA	0.187457	0.21604
Q9CZN8	Qrsl1	NA	0.918129	0.0495278
Q9CZP5	Bcs1l	NA	0.107034	0.582985
Q9CZP7	Cdc37l1	NA	0.492457	-0.198139
Q9CZR8	Tsfm	NA	0.186527	0.236217
Q9CZT4	Polr3e	NA	0.99935	0.020861
Q9CZT6	Cmss1	+	0.089608	-0.410195
Q9CZU4	Eral1	NA	0.799887	0.0611801
Q9CZU6	Cs	+	0.0752672	0.524207
Q9CZV5	Supt7l	NA	0.1415	0.20633
Q9CZV8	Fbxl20	NA	0.799734	1.69505
Q9CZW4	Acsl3	NA	0.42086	-0.190287
Q9CZW5	Tomm70a	NA	1	0.00874392
Q9CZX0	Elp3	NA	0.581625	0.121824
Q9CZX8	Rps19	+	0.0228115	-0.402729
Q9CZX9	Emc4	NA	1	0
Q9D024	Ccdc47	NA	0.213877	-0.3308
A2AUR7	Rsu1	NA	0.472023	-0.223937
Q9D051	Pdhb	+	0.0145878	0.788924
Q9D061	Acbd6	NA	0.79958	NA
Q9D071	Mms19	+	0.0874824	0.314184
Q9D074	Mgrn1	NA	1	0
Q9D083	Spc24	+	0.0685634	-0.582837
Q9D0B0	Srsf9	+	0.0151227	-0.86399
Q9D0B5	Tstd3	NA	0.799427	NA
Q9D0B6	Pbdc1	NA	0.63997	0.150579
Q9D0C4	Trmt5	NA	0.207723	-0.169045
Q9D0D3	Mtpap	NA	0.597476	0.144283
Q9D0D4	Dimt1	+	0.0446542	-0.4813
Q9D0D5	Gtf2e1	+	0.0830837	-0.518909
Q9D0E1	Hnrnpm	+	0.0480359	0.334558
Q9D0F1	Ndc80	NA	0.799273	NA
Q9D0F3	Lman1	NA	0.430743	0.223547
Q9D0F4	Nkap	NA	0.218746	0.413735
Q9D0F6	Rfc5	NA	0.166497	0.196037
Q9D0F9	Pgm1	NA	0.557377	0.13561
Q9D0G0	Mrps30	NA	0.817207	0.06066
Q9D0I4	Stx17	NA	0.669778	-0.14575
Q9D0I8	Mrto4	+	0.0154935	-0.450873
Q9D0I9	Rars	NA	0.131723	-0.76811
Q9D0J4	Arl2	NA	0.295949	0.304997
Q9D0K1	Pex13	NA	0.79912	-0.2043
Q9D0K2	Oxct1	+	0.0113904	0.655078
Q9D0L4	Adck1	NA	0.798967	NA
Q9D0L7	Armc10	NA	0.798814	0.513775
Q9D0L8	Rnmt	+	0.0356435	0.370954
Q9D0M0	Exosc7	NA	0.623663	-0.12777
Q9D0M2	Cdca7	NA	0.798661	NA
Q9D0M3	Cyc1	NA	0.45134	0.1213
Q9D0N7	Chaf1b	NA	0.371556	-0.31421
Q9D0Q7	Mrpl45	NA	0.798508	0.300603
Q9D0R2	Tars	NA	0.10333	-0.232616
Q9D0R4	Ddx56	+	0.0062087	-1.35868
Q9D0R8	Lsm12	NA	0.798355	NA
Q9D0R9	Wdr89	NA	0.870742	-0.0868867
Q9D0S9	Hint2	NA	0.232104	0.538287
Q9D0T2	Dusp12	NA	0.798202	-0.16984
Q9D0W5	Ppil1	NA	0.798049	NA
Q9D103	Ifitm1	NA	0.797896	NA
Q9D114	Hddc3	NA	0.797743	0.46963
Q9D125	Mrps25	NA	0.327911	0.413031
Q9D142	Nudt14	NA	0.797591	NA
Q9D168	Ints12	NA	0.797438	NA
Q9D198	Syf2	NA	0.371065	0.192176
Q9D1A2	Cndp2	NA	0.449499	0.141321
Q9D1B9	Mrpl28	NA	0.797286	-0.16386
Q9D1C8	Vps28	NA	0.475285	0.20773
Q9D1C9	Rrp7a	NA	0.14509	-0.319736
Q9D1D4	Tmed10	NA	0.239197	0.249746
Q9D1E6	Tbcb	NA	0.993662	-0.0167732
Q9D1E8	Agpat5	NA	0.249104	0.246881
Q9D1F9	Slc37a4	NA	1	0
Q9D1G1	Rab1b	NA	0.579091	0.21846
Q9D1H6	Ndufaf4	+	0.0237728	0.435287
Q9D1H7	Get4	NA	0.46411	-0.170496
Q9D1H8	Mrpl53	+	0.0508591	0.385834
Q9D1I5	Mcee	NA	0.796981	0.880706
Q9D1I6	Mrpl14	NA	0.796828	0.492153
Q9D1J1	Necap2	NA	0.184228	0.55457
Q9D1J3	Sarnp	+	0.0228005	0.345138
Q9D1K2	Atp6v1f	NA	0.801664	-0.0843042
Q9D1L9	Lamtor5	NA	0.796676	0.242205
Q9D1M0	Sec13	NA	0.232396	-0.195934
Q9D1M4	Eef1e1	+	0.00892973	-0.397806
Q9D1N9	Mrpl21	+	0.0942781	0.315837
Q9D1P0	Mrpl13	NA	0.279628	0.179176
Q9D1P4	Chordc1	NA	0.162869	-0.247733
Q9D1Q6	Erp44	NA	0.680656	-0.104087
Q9D1R2	Kti12	NA	0.351073	0.20638600000000001
Q9D1R9	Rpl34	NA	0.796371	-0.322364
Q9D211	Cdkn2aipnl	NA	1	0
Q9D273	Mmab	NA	0.248102	0.419486
Q9D287	Bcas2	NA	0.82013	-0.0831998
Q9D289	Trappc6b	+	0.0672423	0.372048
Q9D2C2	Saal1	NA	0.607937	0.120904
Q9D2C6	Polr3h	NA	0.796219	NA
Q9D2E2	Toe1	NA	0.19916	0.173733
Q9D2G2	Dlst	+	0.0174092	0.66329
Q9D2L9	Fam111a	NA	0.795915	NA
Q9D2M8	Ube2v2	NA	0.795763	-0.404661
Q9D2N9	Vps33a	NA	0.905985	0.0538069
Q9D2P4	Urm1	NA	0.795611	NA
Q9D2Q2	Trmt44	NA	0.610989	0.151871
Q9D2R0	Aacs	NA	0.199229	-0.302203
Q9D2R6	Coa3	NA	1	0
Q9D2U5	Naa38	NA	1	0
Q9D2V5	Aar2	NA	0.795308	-0.179077
Q9D2V7	Coro7	+	0.0453469	0.255593
Q9D2V8	Mfsd10	NA	0.795156	0.29263
Q9D2X5	Mau2	NA	1	0.00803725
Q9D2Y4	Mlkl	+	0.00566667	0.452316
Q9D338	Mrpl19	+	0.0213812	0.402054
Q9D358	Acp1	NA	0.795004	NA
Q9D3D0	Ttpal	NA	0.794853	-0.299347
Q9D3D9	Atp5d	NA	0.794701	-0.208384
Q9D3E6	Stag1	NA	0.626974	0.177917
Q9D3U0	Pus10	NA	0.811374	0.0944366
Q9D3W4	Gpn3	NA	0.448402	0.148068
Q9D404	Oxsm	+	0.0913608	0.734104
Q9D483	Polr3c	NA	0.794549	-0.480729
Q9D486	Cmip	+	0.0654108	0.4788
Q9D4H1	Exoc2	+	0.0403988	0.345647
Q9D4H2	Gcc1	NA	0.593778	0.21798
Q9D4H8	Cul2	NA	0.25151	0.196774
Q9D4H9	Phf14	NA	0.736058	0.0945819
Q9D4J7	Phf6	+	0.0822006	0.409673
Q9D4V0	Etnk1	NA	0.794247	NA
Q9D4V7	Rabl3	NA	0.794095	NA
Q9D517	Agpat3	NA	0.793944	NA
Q9D554	Sf3a3	NA	0.801255	0.0607065
Q9D5J6	Shpk	NA	0.793793	1.23814
Q9D5T0	Atad1	NA	0.755833	0.104073
Q9D5V6	Syap1	NA	0.793642	NA
Q9D600	Gins2	NA	0.378104	-0.29745
Q9D662	Sec23b	+	0.0788204	-0.324767
Q9D666	Sun1	NA	0.377638	0.16231
Q9D6H2	Hspb11	NA	0.79349	NA
Q9D6J1	Cers4	NA	0.793339	NA
Q9D6J5	Ndufb8	+	0.0688518	0.78138
Q9D6J6	Ndufv2	NA	0.793188	NA
Q9D6K5	Synj2bp	NA	0.216597	0.344716
Q9D6K7	Ttc33	NA	0.793037	0.78347
Q9D6K8	Fundc2	NA	0.792887	-0.0121498
Q9D6R2	Idh3a	+	0.0672954	0.32142
Q9D6S7	Mrrf	NA	0.792585	NA
Q9D6T0	Nosip	NA	0.792434	-0.99107
Q9D6U8	Fam162a	NA	0.715705	0.11124
Q9D6V8	Paip2	NA	0.826238	0.0752064
Q9D6Y7	Msra	+	0.00388235	0.875688
Q9D6Y9	Gbe1	NA	0.257759	0.363403
Q9D6Z0	Alkbh7	+	0.0769857	0.59923
Q9D6Z1	Nop56	NA	0.15289	0.237801
Q9D706	Rpap3	NA	0.640729	-0.10825
Q9D710	Tmx2	+	0.0767339	-0.322643
Q9D720	Nsmce1	NA	0.999084	-0.0173569
Q9D753	Exosc8	NA	0.792133	0.424517
Q9D786	Haus5	+	0.0654089	-0.448521
Q9D787	Ppil2	NA	0.864733	-0.0423044
Q9D7A8	Armc1	NA	0.791832	NA
Q9D7B1	Dus2	NA	1	0
Q9D7E3	Ovca2	NA	0.281611	-0.168483
Q9D7J6	Dnase1l1	NA	0.791682	NA
Q9D7K2	Ten1	NA	1	0
Q9D7M1	Gid8	NA	0.286909	0.310107
Q9D7M8	Polr2d	NA	0.791531	NA
Q9D7N3	Mrps9	NA	0.36344	0.257826
Q9D7N6	Mrpl30	NA	0.791381	NA
Q9D7N9	Apmap	+	0.00842105	0.579126
Q9D7P6	Iscu	NA	0.791231	-0.671287
Q9D7S7	Rpl22l1	NA	0.79108	-0.767456
Q9D7V9	Naaa	NA	0.79093	0.609505
Q9D7W5	Med8	NA	0.946078	-0.0347869
Q9D7X3	Dusp3	NA	0.79078	-0.246051
Q9D7X8	Ggct	NA	0.79063	NA
Q9D7Z3	Nol7	NA	0.694711	-0.20577
Q9D818	Sapcd2	+	0.0120388	-1.11603
Q9D819	Ppa1	NA	0.623159	-0.0725301
Q9D820	Prorsd1	NA	0.430393	0.243884
Q9D824	Fip1l1	NA	0.143246	0.251801
Q9D832	Dnajb4	NA	0.79048	NA
Q9D842	Aplf	NA	0.129019	0.465096
Q9D850	Tmem68	NA	0.79033	0.81353
Q9D880	Timm50	NA	0.278066	0.157663
Q9D883	U2af1	NA	0.685103	0.168687
Q9D892	Itpa	NA	0.991528	0.016997
Q9D8B3	Chmp4b	NA	0.508595	-0.185827
Q9D8C4	Ifi35	+	0.0691092	0.322985
Q9D8E6	Rpl4	NA	0.471679	-0.15674
Q9D8L5	Ccdc91	NA	0.790031	NA
Q9D8M4	Rpl7l1	+	0.0278737	-0.560554
Q9D8N0	Eef1g	NA	0.131742	-0.436367
Q9D8P4	Mrpl17	NA	0.937806	0.056610099999999997
Q9D8S3	Arfgap3	NA	0.738633	-0.156755
Q9D8S4	Rexo2	NA	0.789731	-0.150563
Q9D8S9	Bola1	NA	0.789582	-0.176516
Q9D8T7	Slirp	NA	0.929381	0.0464236
Q9D8U0	Ifrd2	NA	0.235244	-0.324256
Q9D8U8	Snx5	NA	0.170797	-0.174852
Q9D8V7	Sec11c	NA	0.238499	0.41309
Q9D8W5	Psmd12	NA	0.913789	0.0744165
Q9D8X2	Ccdc124	NA	0.125483	-0.274253
Q9D8X5	Cnot8	NA	0.789432	0.258397
Q9D8Y7	Tnfaip8l2	NA	0.789283	-0.279027
Q9D8Z1	Ascc1	NA	0.215098	0.31187
Q9D8Z2	Triap1	NA	0.789133	NA
Q9D902	Gtf2e2	NA	0.390823	-0.188833
Q9D903	Ebna1bp2	+	0.00660586	-0.723814
Q9D967	Mdp1	NA	0.71574	0.148592
Q9D9V3	Echdc1	+	0.0137123	0.645811
Q9DA19	Cir1	NA	0.788834	0.125409
Q9DAA6	Exosc1	NA	0.826469	-0.0507933
Q9DAI2	Ift22	NA	0.73063	-0.157793
Q9DAK9	Phpt1	NA	0.339774	0.281503
Q9DAM7	Tmem263	+	0.0378295	-0.342347
Q9DAR7	Dcps	+	0.0128462	0.54866
Q9DAS9	Gng12	NA	0.149875	0.661184
Q9DAU1	Cnpy3	NA	0.824329	0.123725
Q9DAW6	Prpf4	+	0.0420735	0.29615
E9Q507	Gon4l	NA	0.788685	NA
Q9DB10	Smdt1	NA	0.788536	NA
Q9DB15	Mrpl12	NA	0.788387	0.430216
Q9DB16	Cab39l	NA	0.697361	-0.2046
Q9DB20	Atp5o	+	0.00430435	0.741027
Q9DB25	Alg5	NA	0.843009	-0.0864671
Q9DB27	Mcts1	NA	0.788238	0.129021
Q9DB29	Iah1	+	0.0040203	1.06088
Q9DB30	Phkg2	NA	0.788089	NA
Q9DB32	Haghl	NA	0.787939	NA
Q9DB34	Chmp2a	NA	0.641563	0.171033
Q9DB40	Med27	NA	0.225446	-0.35493
Q9DB43	Zfpl1	NA	0.645019	0.183343
Q9DB73	Cyb5r1	NA	0.787642	0.563556
Q9DB77	Uqcrc2	+	0.0100811	0.6269
Q9DB90	Smg9	NA	0.787493	-0.508635
Q9DB91	Med29	NA	0.595558	-0.15292
Q9DB96	Ngdn	NA	0.438756	-0.161667
Q9DBB4	Naa16	NA	0.787344	0.0468032
Q9DBB5	Eif4e3	NA	0.787195	0.411711
Q9DBC3	Cmtr1	+	0.0103158	0.505097
Q9DBC7	Prkar1a	NA	0.787047	-0.0179138
Q9DBD5	Pelp1	NA	0.881724	0.0481065
Q9DBE8	Alg2	NA	0.149984	0.236835
Q9DBE9	Ftsj3	+	0.02726	-0.75584
Q9DBF1	Aldh7a1	NA	0.786898	NA
Q9DBF7	Cwc25	NA	0.425357	-0.2219
Q9DBG3	Ap2b1	NA	0.547687	-0.152743
Q9DBG5	Plin3	+	0.0058	1.11116
Q9DBG7	Srpr	+	0.0153949	-0.801597
Q9DBH0	Wwp2	NA	1	0
Q9DBH5	Lman2	NA	0.190674	0.193014
Q9DBJ1	Pgam1	NA	0.84535	-0.0809491
Q9DBK7	Uba7	+	0.0388878	0.410117
Q9DBL2	Gdap2	NA	1	0
Q9DBL7	Coasy	+	0.0105138	0.730038
Q9DBL9	Abhd5	NA	1	0
Q9DBN5	Lonp2	NA	0.786749	0.580499
Q9DBN9	Ddx59	NA	0.786601	NA
Q9DBP5	Cmpk1	NA	0.307692	0.249286
Q9DBQ7	Scyl3	NA	0.978959	-0.0288862
Q9DBR0	Akap8	+	0.064215	0.34042
Q9DBR1	Xrn2	NA	0.972356	-0.0236835
Q9DBR7	Ppp1r12a	+	0.0770725	-0.48122
Q9DBS1	Tmem43	+	0.0164929	0.722833
Q9DBS5	Klc4	NA	0.786453	NA
Q9DBS8	Poc5	NA	1	0
Q9DBT3	Ccdc97	NA	0.786304	-0.888341
Q9DBU3	Riok3	+	0.0064381	-0.559303
Q9DBV3	Dhx34	+	0.0500991	0.67575
Q9DBX2	Pdcl	NA	0.786156	0.194943
Q9DBY8	Nvl	+	0.0105	-0.497831
Q9DBZ5	Eif3k	+	0.089731	-0.309224
Q9DC04	Rgs3	NA	0.786008	NA
Q9DC11	Plxdc2	NA	0.785859	0.079539
Q9DC16	Ergic1	NA	0.76086	-0.10168
Q9DC22	Dcaf6	NA	0.785711	0.321609
Q9DC23	Dnajc10	NA	0.787418	0.0792338
Q9DC28	Csnk1d	+	0.0770703	-0.37039
Q9DC29	Abcb6	NA	0.785563	NA
Q9DC33	Hmg20a	NA	1	-0.00196711
Q9DC40	Telo2	NA	0.785415	-0.636
Q9DC48	Cdc40	+	0.0642288	0.381257
Q9DC50	Crot	+	0.0214699	0.68062
Q9DC51	Gnai3	NA	0.62707	0.0981134
Q9DC61	Pmpca	+	0.0556857	0.373434
Q9DC63	Fbxo3	NA	0.514864	0.32198
Q9DC69	Ndufa9	+	0.0266222	0.461877
Q9DC70	Ndufs7	+	0.0205771	0.68226
Q9DC71	Mrps15	NA	0.785267	NA
Q9DCA5	Brix1	+	0.00895393	-0.528596
Q9DCB8	Isca2	NA	0.785119	NA
Q9DCC4	Pycrl	NA	0.286883	0.256317
Q32P00	Cbx3	NA	1	0.0203403
Q9DCC8	Tomm20	NA	0.784971	NA
Q9DCD0	Pgd	NA	0.994138	-0.0143305
Q9DCD2	Xab2	NA	0.339609	-0.279387
Q9DCD5	Tjap1	NA	0.784823	NA
Q9DCE5	Pak1ip1	NA	0.607279	-0.10481
Q9DCF9	Ssr3	+	0.0396328	0.861285
Q9DCG9	Trmt112	NA	0.624631	-0.139137
Q9DCH2	Pop7	NA	0.708192	-0.0737696
Q9DCH4	Eif3f	+	0.0691682	-0.324264
Q9DCH6	Zfand6	NA	0.784676	-0.3046
Q9DCI9	Mrpl32	NA	0.784528	NA
Q9DCJ1	Mlst8	NA	0.78438	NA
Q9DCJ5	Ndufa8	NA	0.158711	0.427343
Q9DCL9	Paics	NA	0.753406	-0.106697
Q9DCM0	Ethe1	+	0.00962963	0.854097
Q9DCN2	Cyb5r3	NA	0.109992	0.26546
Q9DCR2	Ap3s1	NA	0.605207	0.15615
Q9DCS3	Mecr	NA	0.711698	0.14103
Q9DCS9	Ndufb10	NA	0.680764	0.0657171
Q9DCT2	Ndufs3	+	0.00614815	0.71242
Q9DCU6	Mrpl4	NA	0.490715	0.266754
Q9DCV4	Rmdn1	NA	0.784233	0.572339
Q9DCW4	Etfb	+	0.0169843	0.554604
Q9DCX1	Mad2l1bp	NA	0.189569	0.349997
Q9DCZ1	Gmpr	+	0.010093	0.703567
Q9DCZ4	Apoo	+	0.0344651	0.789076
Q9DD18	Dtd1	NA	0.784085	NA
Q9EP52	Twsg1	NA	0.783938	NA
Q9EP53	Tsc1	NA	0.550888	0.23853
Q9EP69	Sacm1l	+	0.0256436	0.441582
Q9EP72	Emc7	NA	0.957142	-0.0274061
Q9EP89	Lactb	+	0.0654637	0.498013
Q9EP97	Senp3	NA	0.219173	-0.191323
Q9EPE9	Atp13a1	NA	0.284672	0.210396
Q9EPK2	Rp2	NA	0.78379	NA
Q9EPK6	Sil1	NA	0.783643	NA
Q9EPK7	Xpo7	NA	0.296027	0.207199
Q9EPL8	Ipo7	+	0.0356777	-0.345661
Q9EPL9	Acox3	+	0.00814525	0.734227
Q9EPQ7	Stard5	NA	0.472032	-0.22154
Q9EPQ8	Tcf20	NA	0.156	-0.370794
Q9EPU0	Upf1	NA	1	0.0094471
Q9EPU4	Cpsf1	NA	0.131828	0.274382
Q9EQ06	Hsd17b11	+	0.00301299	1.23533
Q9EQ09	Olr1	NA	0.783495	NA
Q9EQ20	Aldh6a1	+	0.00386667	1.41471
Q9EQ32	Pik3ap1	NA	0.830321	-0.10969
Q9EQ80	Nif3l1	NA	0.845243	0.059906
Q9EQC5	Scyl1	+	0.0991934	-0.36107
Q9EQC8	Prcc	NA	0.766713	-0.105029
Q9EQG7	Enpp5	NA	0.783348	NA
Q9EQH2	Erap1	NA	0.215095	0.247573
Q9EQH3	Vps35	+	0.0304809	0.464097
Q9EQI8	Mrpl46	NA	0.783201	-0.407
Q9EQM6	Dgcr8	NA	0.783054	NA
Q9EQN3	Tsc22d4	NA	0.782907	NA
Q9EQN9	Slc19a2	NA	0.78276	-0.749885
Q9EQP2	Ehd4	NA	0.256408	0.153987
Q9EQQ2	Yipf5	NA	0.782613	-0.0110143
Q9EQS3	Mycbp	NA	0.509321	-0.157307
Q9EQU5	Set	+	0.0818284	0.314264
Q9EQY0	Ern1	NA	0.782466	NA
Q9ER00	Stx12	NA	0.416177	-0.209253
Q9ER39	Tor1a	NA	0.583406	-0.165144
Q9ER41	Tor1b	NA	0.873887	0.086517
